0	8.175798916
1	8.661957218
2	9.177023997
3	9.722718241
4	10.30086115
5	10.91338223
6	11.56232571
7	12.24985737
8	12.9782718
9	13.75
10	14.56761755
11	15.43385316
12	16.35159783
13	17.32391444
14	18.35404799
15	19.44543648
16	20.60172231
17	21.82676446
18	23.12465142
19	24.49971475
20	25.9565436
21	27.5
22	29.13523509
23	30.86770633
24	32.70319566
25	34.64782887
26	36.70809599
27	38.89087297
28	41.20344461
29	43.65352893
30	46.24930284
31	48.9994295
32	51.9130872
33	55
34	58.27047019
35	61.73541266
36	65.40639133
37	69.29565774
38	73.41619198
39	77.78174593
40	82.40688923
41	87.30705786
42	92.49860568
43	97.998859
44	103.8261744
45	110
46	116.5409404
47	123.4708253
48	130.8127827
49	138.5913155
50	146.832384
51	155.5634919
52	164.8137785
53	174.6141157
54	184.9972114
55	195.997718
56	207.6523488
57	220
58	233.0818808
59	246.9416506
60	261.6255653
61	277.182631
62	293.6647679
63	311.1269837
64	329.6275569
65	349.2282314
66	369.9944227
67	391.995436
68	415.3046976
69	440
70	466.1637615
71	493.8833013
72	523.2511306
73	554.365262
74	587.3295358
75	622.2539674
76	659.2551138
77	698.4564629
78	739.9888454
79	783.990872
80	830.6093952
81	880
82	932.327523
83	987.7666025
84	1046.502261
85	1108.730524
86	1174.659072
87	1244.507935
88	1318.510228
89	1396.912926
90	1479.977691
91	1567.981744
92	1661.21879
93	1760
94	1864.655046
95	1975.533205
96	2093.004522
97	2217.461048
98	2349.318143
99	2489.01587
100	2637.020455
101	2793.825851
102	2959.955382
103	3135.963488
104	3322.437581
105	3520
106	3729.310092
107	3951.06641
108	4186.009045
109	4434.922096
110	4698.636287
111	4978.03174
112	5274.040911
113	5587.651703
114	5919.910763
115	6271.926976
116	6644.875161
117	7040
118	7458.620184
119	7902.13282
120	8372.01809
121	8869.844191
122	9397.272573
123	9956.063479
124	10548.08182
125	11175.30341
126	11839.82153
127	12543.85395
